iter	Passed	Remaining
210	50740	188535
211	51091	188700
212	51359	188559
213	51639	188458
214	51887	188244
215	52135	188024
216	52374	187774
217	52638	187615
218	52879	187373
219	53108	187087
220	53333	186787
221	53573	186542
222	53827	186343
223	54073	186119
224	54310	185862
225	54527	185538
226	54771	185307
227	55010	185058
228	55248	184805
229	55480	184534
230	55671	184125
231	55855	183698
232	56072	183379
233	56295	183079
234	56522	182797
235	56811	182710
236	57017	182360
237	57263	182135
238	57547	182033
239	57815	181877
240	58061	181653
241	58292	181380
242	58673	181573
243	58942	181416
244	59213	181265
245	59494	181143
246	59756	180963
247	60013	180767
248	60268	180564
249	60551	180443
250	60785	180176
251	61019	179911
252	61253	179645
253	61535	179517
254	61934	179732
255	62129	179351
256	62373	179110
257	62668	179019
258	62927	178820
259	63257	178825
260	63583	178814
261	63826	178567
262	64091	178385
263	64379	178261
264	64639	178063
265	64922	177925
266	65170	177693
267	65634	178046
268	65920	177912
269	66176	177695
270	66438	177495
271	66680	177243
272	66950	177063
273	67192	176810
274	67453	176605
275	67719	176414
276	68008	176283
277	68279	176100
278	68529	175866
279	68773	175618
280	69000	175324
281	69352	175348
282	69614	175143
283	69893	174980
284	70178	174829
285	70441	174625
286	70697	174404
287	70969	174220
288	71239	174032
289	71497	173813
290	71753	173588
291	71985	173307
292	72245	173093
293	72497	172859
294	72924	173040
295	73180	172815
296	73429	172571
297	73700	172380
298	73955	172151
299	74213	171928
300	74451	171659
301	74714	171447
302	74967	171211
303	75254	171056
304	75514	170835
305	75771	170609
306	76013	170349
307	76283	170150
308	76631	170126
309	76863	169843
310	77110	169593
311	77370	169371
312	77616	169120
313	77913	168977
314	78215	168846
315	78517	168713
316	78808	168555
317	79053	168298
318	79314	168077
319	79551	167804
320	79801	167558
321	80149	167518
322	80393	167259
323	80653	167033
324	80902	166783
325	81173	166580
326	81435	166356
327	81696	166133
328	81938	165868
329	82213	165673
330	82492	165483
331	82773	165298
332	83082	165166
333	83356	164966
334	83792	165083
335	84062	164872
336	84341	164679
337	84567	164381
338	84835	164165
339	85052	163850
340	85284	163566
341	85573	163389
342	85823	163140
343	86125	162987
344	86390	162764
345	86637	162507
346	86894	162270
347	87257	162228
348	87499	161961
349	87761	161731
350	88027	161509
351	88251	161209
352	88541	161030
353	88812	160816
354	89082	160599
355	89347	160374
356	89613	160148
357	89856	159884
358	90101	159623
359	90348	159365
360	90605	159123
361	91028	159174
362	91306	158968
363	91560	158722
364	91798	158446
365	92016	158137
366	92240	157839
367	92462	157538
368	92676	157223
369	92888	156906
370	93087	156568
371	93323	156291
372	93531	155969
373	93762	155686
374	94022	155451
375	94251	155163
376	94536	154970
377	94783	154713
378	95007	154418
379	95234	154129
380	95411	153760
381	95646	153485
382	95879	153207
383	96118	152939
384	96337	152638
385	96635	152463
386	96931	152285
387	97165	152008
388	97402	151737
389	97633	151456
390	97884	151207
391	98115	150928
392	98339	150636
393	98580	150372
394	98809	150090
395	99052	149829
396	99282	149548
397	99509	149264
398	99731	148972
399	99948	148673
400	100151	148354
401	100380	148073
402	100628	147820
403	100849	147529
404	101094	147273
405	101313	146978
406	101539	146696
407	101767	146415
408	101984	146118
409	102200	145823
410	102387	145484
411	102611	145200
412	102826	144902
413	103042	144607
414	103287	144353
415	103523	144086
416	103763	143825
417	104004	143565
418	104262	143330
419	104517	143089
420	104738	142802
421	105071	142668
422	105267	142347
423	105496	142071
424	105729	141801
425	105957	141525
426	106193	141260
427	106411	140970
428	106674	140740
429	106892	140451
430	107102	140153
431	107326	139872
432	107550	139592
433	107770	139307
434	108007	139044
435	108232	138766
436	108479	138515
437	108692	138222
438	108908	137934
439	109119	137638
440	109337	137353
441	109538	137047
442	109716	136712
443	109925	136416
444	110134	136121
445	110356	135842
446	110593	135582
447	110822	135312
448	111047	135037
449	111278	134770
450	111511	134505
451	111748	134246
452	111952	133947
453	112159	133653
454	112364	133356
455	112599	133094
456	112855	132858
457	113115	132626
458	113368	132387
459	113611	132135
460	113854	131884
461	114058	131587
462	114272	131302
463	114470	131000
464	114674	130704
465	114885	130417
466	115108	130143
467	115347	129889
468	115598	129647
469	115831	129386
470	116064	129124
471	116318	128886
472	116548	128622
473	116760	128337
474	116967	128048
475	117196	127783
476	117414	127506
477	117620	127217
478	117847	126950
479	118078	126687
480	118282	126397
481	118511	126133
482	118756	125886
483	118969	125606
484	119170	125313
485	119360	125009
486	119565	124721
487	119771	124434
488	119976	124147
489	120198	123877
490	120416	123604
491	120681	123379
492	120923	123130
493	121145	122862
494	121362	122587
495	121588	122324
496	121796	122041
497	122017	121772
498	122222	121487
499	122472	121247
500	122697	120983
501	122935	120731
502	123256	120561
503	123628	120439
504	123892	120212
505	124251	120077
506	124474	119809
507	124710	119554
508	124867	119225
509	125084	118953
510	125310	118689
511	125539	118429
512	125772	118172
513	125997	117907
514	126194	117618
515	126398	117334
516	126591	117041
517	126815	116778
518	127013	116490
519	127223	116213
520	127459	115961
521	127693	115707
522	127924	115449
523	128150	115189
524	128373	114925
525	128566	114634
526	128788	114369
527	129002	114098
528	129213	113825
529	129410	113539
530	129634	113277
531	129852	113010
532	130102	112771
533	130349	112529
534	130562	112259
535	130831	112036
536	131104	111816
537	131296	111528
538	131513	111262
539	131754	111015
540	131973	110750
541	132196	110489
542	132393	110206
543	132610	109939
544	132845	109688
545	133074	109433
546	133310	109182
547	133532	108921
548	133741	108649
549	133950	108378
550	134145	108095
551	134350	107821
552	134604	107586
553	134841	107337
554	135101	107107
555	135363	106878
556	135631	106654
557	135886	106419
558	136099	106152
559	136309	105883
560	136517	105612
561	136709	105329
562	136877	105028
563	137118	104783
564	137351	104532
565	137563	104266
566	137788	104009
567	138000	103743
568	138233	103492
569	138458	103236
570	138669	102969
571	138892	102712
572	139113	102453
573	139308	102175
574	139539	101924
575	139771	101673
576	140043	101452
577	140280	101205
578	140536	100972
579	140771	100724
580	140984	100460
581	141213	100207
582	141420	99940
583	141644	99685
584	141832	99403
585	141989	99101
586	142199	98837
587	142419	98579
588	142661	98337
589	142875	98075
590	143171	97870
591	143383	97607
592	143613	97357
593	143814	97086
594	144042	96835
595	144269	96582
596	144511	96341
597	144754	96099
598	144987	95851
599	145223	95605
600	145431	95341
601	145650	95083
602	145877	94832
603	146102	94579
604	146327	94327
605	146541	94066
606	146790	93829
607	147025	93583
608	147268	93342
609	147532	93114
610	147774	92873
611	148018	92632
612	148254	92386
613	148491	92141
614	148719	91892
615	148932	91632
616	149167	91386
617	149399	91138
618	149610	90877
619	149815	90614
620	150046	90366
621	150254	90104
622	150484	89855
623	150669	89581
624	150861	89310
625	151062	89045
626	151283	88791
627	151536	88557
628	151785	88320
629	152021	88075
630	152271	87839
631	152512	87598
632	152733	87345
633	152951	87090
634	153181	86842
635	153389	86583
636	153603	86326
637	153841	86083
638	154088	85846
639	154305	85591
640	154537	85345
641	154794	85112
642	155016	84861
643	155220	84599
644	155408	84330
645	155632	84079
646	155844	83823
647	156056	83567
648	156285	83320
649	156580	83107
650	156938	82928
651	157228	82713
652	157504	82490
653	157757	82255
654	157991	82010
655	158205	81755
656	158435	81508
657	158660	81259
658	158884	81009
659	159101	80755
660	159329	80508
661	159555	80260
662	159785	80013
663	160016	79767
664	160230	79512
665	160433	79253
666	160654	79002
667	160859	78744
668	161074	78490
669	161299	78242
670	161535	77999
671	161762	77751
672	161966	77493
673	162314	77303
674	162545	77058
675	162743	76797
676	162960	76545
677	163187	76298
678	163419	76053
679	163657	75812
680	163886	75565
681	164114	75319
682	164376	75088
683	164642	74859
684	164896	74624
685	165135	74383
686	165345	74128
687	165545	73869
688	165762	73618
689	165974	73365
690	166212	73123
691	166439	72877
692	166663	72629
693	166895	72385
694	167116	72136
695	167325	71882
696	167558	71638
697	167792	71396
698	168022	71151
699	168260	70909
700	168520	70677
701	168803	70455
702	169038	70212
703	169293	69977
704	169519	69731
705	169758	69490
706	169990	69246
707	170214	68999
708	170414	68742
709	170622	68489
710	170863	68249
711	171088	68002
712	171319	67759
713	171557	67517
714	171791	67274
715	172032	67034
716	172276	66796
717	172507	66552
718	172719	66301
719	172936	66052
720	173167	65808
721	173405	65567
722	173625	65319
723	173853	65074
724	174117	64843
725	174324	64591
726	174548	64345
727	174747	64090
728	174958	63839
729	175160	63585
730	175359	63331
731	175580	63084
732	175789	62833
733	176018	62589
734	176289	62360
735	176547	62127
736	176822	61899
737	177040	61652
738	177256	61404
739	177444	61146
740	177648	60894
741	177871	60649
742	178077	60397
743	178250	60135
744	178477	59891
745	178684	59641
746	178929	59403
747	179161	59161
748	179402	58922
749	179597	58668
750	179819	58423
751	180031	58175
752	180250	57929
753	180457	57679
754	180717	57446
755	181076	57245
756	181350	57016
757	181605	56781
758	181843	56541
759	182078	56300
760	182303	56056
761	182511	55807
762	182728	55561
763	182958	55318
764	183352	55125
765	183606	54890
766	183858	54654
767	184080	54409
768	184320	54169
769	184614	53945
770	184865	53709
771	185109	53470
772	185341	53228
773	185564	52984
774	185800	52743
775	186029	52500
776	186254	52256
777	186470	52010
778	186699	51767
779	186907	51519
780	187104	51268
781	187342	51027
782	187538	50776
783	187706	50518
784	187900	50266
785	188112	50019
786	188326	49773
787	188554	49531
788	188841	49304
789	189078	49064
790	189328	48828
791	189544	48582
792	189774	48341
793	189983	48094
794	190192	47847
795	190411	47602
796	190634	47359
797	190859	47116
798	191092	46876
799	191319	46634
800	191519	46385
801	191768	46148
802	191976	45902
803	192165	45651
804	192382	45407
805	192595	45161
806	192790	44912
807	193036	44675
808	193243	44429
809	193496	44193
810	193725	43952
811	193956	43711
812	194193	43472
813	194466	43241
814	194681	42997
815	194901	42754
816	195117	42510
817	195322	42264
818	195559	42024
819	195785	41783
820	196015	41542
821	196264	41306
822	196498	41066
823	196749	40830
824	196981	40590
825	197210	40349
826	197452	40111
827	197684	39871
828	197922	39632
829	198155	39392
830	198408	39156
831	198627	38913
832	198863	38674
833	199098	38435
834	199321	38193
835	199521	37947
836	199721	37701
837	199919	37455
838	200234	37230
839	200456	36988
840	200675	36746
841	200921	36509
842	201154	36269
843	201398	36032
844	201607	35788
845	201835	35547
846	202033	35302
847	202221	35054
848	202406	34807
849	202609	34562
850	202841	34323
851	203071	34083
852	203283	33840
853	203521	33602
854	203746	33362
855	203984	33123
856	204199	32881
857	204384	32634
858	204597	32392
859	204818	32151
860	205070	31915
861	205354	31684
862	205580	31444
863	205790	31202
864	206054	30967
865	206282	30727
866	206493	30485
867	206693	30242
868	206887	29997
869	207086	29753
870	207268	29507
871	207472	29265
872	207692	29024
873	207929	28786
874	208162	28548
875	208391	28308
876	208613	28068
877	208828	27827
878	209027	27584
879	209235	27343
880	209457	27103
881	209681	26863
882	209895	26623
883	210127	26384
884	210368	26147
885	210584	25907
886	210809	25667
887	211022	25427
888	211240	25187
889	211461	24947
890	211687	24708
891	211914	24469
892	212177	24235
893	212414	23997
894	212651	23759
895	212825	23515
896	213067	23278
897	213279	23038
898	213522	22801
899	213763	22563
900	213978	22324
901	214203	22085
902	214437	21847
903	214663	21608
904	214887	21370
905	215108	21130
906	215318	20890
907	215529	20650
908	215755	20412
909	215939	20170
910	216124	19928
911	216325	19687
912	216529	19447
913	216821	19215
914	217075	18979
915	217334	18743
916	217599	18509
917	217985	18284
918	218228	18047
919	218493	17811
920	218730	17574
921	218953	17335
922	219261	17103
923	219480	16864
924	219697	16625
925	219899	16385
926	220170	16150
927	220371	15910
928	220583	15671
929	220806	15432
930	220990	15191
931	221221	14953
932	221432	14714
933	221633	14474
934	221832	14235
935	222015	13994
936	222241	13756
937	222509	13521
938	222750	13284
939	223008	13048
940	223249	12811
941	223434	12571
942	223635	12331
943	223811	12091
944	224033	11853
945	224223	11614
946	224418	11374
947	224630	11136
948	224855	10899
949	225048	10660
950	225255	10421
951	225487	10184
952	225687	9946
953	225927	9709
954	226167	9472
955	226379	9235
956	226598	8997
957	226790	8759
958	227000	8521
959	227233	8284
960	227459	8047
961	227670	7809
962	227884	7572
963	228102	7335
964	228296	7097
965	228483	6859
966	228666	6621
967	228849	6383
968	229061	6146
969	229223	5907
970	229462	5671
971	229680	5434
972	229915	5198
973	230158	4962
974	230390	4725
975	230603	4489
976	230788	4251
977	230999	4015
978	231191	3778
979	231404	3541
980	231636	3305
981	231844	3069
982	232055	2832
983	232268	2596
984	232466	2360
985	232684	2123
986	232878	1887
987	233066	1651
988	233248	1415
989	233454	1179
990	233701	943
991	233956	707
992	234233	471
993	234466	235
994	234681	0
