iter	Quantile:alpha=0.95
0	0.06663746815
1	0.06546016537
2	0.06427669131
3	0.06311152096
4	0.06207334568
5	0.06100699915
6	0.05997266638
7	0.05901407812
8	0.05805229332
9	0.05714673548
10	0.05631561621
11	0.05548229754
12	0.05462403401
13	0.05383982479
14	0.05307304955
15	0.05235773563
16	0.05163216249
17	0.0508315661
18	0.05008357522
19	0.04939773602
20	0.04879493334
21	0.04822720287
22	0.04763049069
23	0.04699921839
24	0.04639880385
25	0.04584751699
26	0.04532702639
27	0.04476860515
28	0.04426086922
29	0.04376198442
30	0.04325728753
31	0.04277215024
32	0.04232628943
33	0.04181448116
34	0.0413430323
35	0.04086552578
36	0.0404532031
37	0.04002705925
38	0.03961039224
39	0.03920725054
40	0.03878328642
41	0.03835597501
42	0.03797125587
43	0.03758385422
44	0.03722434057
45	0.03689801591
46	0.03662514309
47	0.03629916396
48	0.03603118355
49	0.03571262495
50	0.03536402697
51	0.03510897575
52	0.03480285586
53	0.0345441117
54	0.03423564624
55	0.03396944575
56	0.033681915
57	0.03338597565
58	0.03308992721
59	0.03281948114
60	0.0325498508
61	0.03228171234
62	0.03207948374
63	0.03181852334
64	0.03160758733
65	0.03139788277
66	0.03114933318
67	0.03087953061
68	0.03066005504
69	0.03041229896
70	0.03017752232
71	0.0299560048
72	0.02975301171
73	0.02953313398
74	0.02928203082
75	0.02910160754
76	0.02884964898
77	0.02859799645
78	0.02836891216
79	0.02812283625
80	0.02793358879
81	0.02774437449
82	0.02755464336
83	0.02733453908
84	0.0271349955
85	0.02693098643
86	0.02669980638
87	0.0264946451
88	0.02629215927
89	0.02615396189
90	0.02599148791
91	0.02576087288
92	0.02556660425
93	0.02536578766
94	0.02519396466
95	0.02503899134
96	0.02485199091
97	0.02470637199
98	0.02455736045
99	0.02437817316
100	0.02423217389
101	0.02406534309
102	0.02391597077
103	0.02377994261
104	0.02364703343
105	0.02353574642
106	0.02341195561
107	0.02325608973
108	0.02311246332
109	0.02298144479
110	0.02284117009
111	0.02272395342
112	0.02261294871
113	0.02251174409
114	0.02238346387
115	0.02225905653
116	0.02214678476
117	0.02202621136
118	0.02191378557
119	0.02180037958
120	0.02169292373
121	0.02160913933
122	0.02151101882
123	0.0214153316
124	0.0213082358
125	0.02121465155
126	0.02113104085
127	0.0210483268
128	0.02095532033
129	0.02086963981
130	0.02078185048
131	0.02069712826
132	0.02062136428
133	0.02053873815
134	0.02045809691
135	0.02038616706
136	0.0203072079
137	0.02023092811
138	0.02015791379
139	0.02007443957
